iter	Passed	Remaining
166	395	1973
167	396	1964
168	397	1953
169	398	1946
170	399	1935
171	399	1925
172	400	1914
173	400	1903
174	401	1892
175	401	1881
176	402	1870
177	402	1860
178	403	1849
179	403	1839
180	404	1829
181	404	1819
182	405	1809
183	405	1799
184	406	1790
185	408	1787
186	410	1786
187	412	1779
188	412	1771
189	413	1762
190	414	1753
191	414	1745
192	415	1737
193	416	1729
194	416	1721
195	417	1712
196	417	1703
197	418	1694
198	418	1685
199	419	1677
200	419	1668
201	420	1660
202	420	1652
203	421	1643
204	421	1635
205	426	1644
206	427	1637
207	428	1630
208	428	1623
209	429	1615
210	429	1607
211	430	1599
212	430	1591
213	431	1584
214	431	1576
215	432	1568
216	432	1561
217	433	1553
218	433	1546
219	434	1539
220	434	1532
221	435	1525
222	435	1518
223	436	1511
224	436	1504
225	437	1497
226	441	1504
227	442	1499
228	443	1494
229	444	1488
230	445	1481
231	445	1475
232	446	1468
233	446	1461
234	447	1455
235	447	1448
236	447	1442
237	448	1435
238	448	1429
239	449	1422
240	449	1416
241	450	1410
242	450	1403
243	451	1397
244	451	1391
245	452	1385
246	452	1379
247	455	1381
248	459	1387
249	460	1382
250	461	1376
251	461	1371
252	462	1365
253	463	1360
254	463	1354
255	464	1348
256	464	1343
257	465	1337
258	465	1331
259	466	1326
260	466	1320
261	466	1315
262	467	1309
263	467	1304
264	468	1299
265	473	1307
266	474	1303
267	475	1298
268	476	1293
269	476	1289
270	477	1284
271	478	1279
272	478	1274
273	479	1269
274	479	1264
275	480	1259
276	480	1254
277	481	1249
278	481	1244
279	482	1239
280	482	1234
281	483	1229
282	483	1225
283	483	1220
284	488	1225
285	490	1224
286	491	1219
287	491	1215
288	492	1211
289	492	1206
290	493	1201
291	493	1197
292	494	1192
293	494	1187
294	495	1183
295	495	1178
296	496	1174
297	496	1169
298	496	1165
299	497	1160
300	497	1156
301	498	1151
302	498	1147
303	499	1143
304	504	1148
305	504	1145
306	505	1141
307	506	1136
308	506	1132
309	507	1128
310	507	1124
311	508	1120
312	508	1116
313	509	1112
314	509	1108
315	510	1104
316	510	1100
317	511	1096
318	511	1091
319	511	1087
320	512	1084
321	512	1080
322	513	1076
323	513	1072
324	517	1074
325	518	1071
326	518	1067
327	519	1064
328	520	1060
329	520	1057
330	521	1053
331	521	1049
332	522	1045
333	522	1042
334	523	1038
335	523	1034
336	524	1031
337	524	1027
338	525	1023
339	525	1020
340	526	1017
341	526	1013
342	527	1009
343	527	1006
344	528	1002
345	529	1001
346	530	998
347	531	995
348	532	992
349	532	989
350	533	985
351	533	982
352	534	979
353	534	975
354	535	972
355	535	968
356	536	965
357	536	962
358	537	958
359	537	955
360	538	952
361	538	949
362	538	945
363	539	942
364	539	939
365	540	936
366	541	933
367	541	930
368	542	927
369	542	924
370	548	930
371	550	928
372	550	926
373	551	923
374	552	920
375	552	917
376	553	914
377	553	911
378	554	907
379	554	904
380	555	901
381	555	898
382	556	896
383	556	893
384	557	890
385	557	887
386	558	884
387	560	883
388	566	889
389	566	886
390	567	883
391	567	880
392	568	877
393	568	874
394	569	871
395	570	869
396	570	866
397	571	863
398	571	861
399	572	858
400	572	855
401	573	852
402	573	849
403	574	847
404	582	855
405	583	853
406	584	852
407	585	849
408	586	846
409	586	844
410	587	842
411	588	839
412	588	836
413	589	834
414	589	831
415	594	834
416	595	833
417	598	833
418	599	831
419	600	828
420	600	826
421	601	823
422	602	821
423	602	818
424	603	815
425	603	813
426	603	810
427	604	807
428	604	805
429	605	802
430	605	799
431	612	805
432	613	803
433	614	801
434	615	799
435	615	796
436	616	793
437	616	791
438	617	789
439	617	786
440	618	783
441	619	781
442	619	779
443	620	776
444	620	774
445	621	771
446	621	768
447	627	773
448	628	771
449	628	768
450	629	766
451	630	763
452	630	761
453	630	758
454	631	756
455	632	754
456	632	751
457	633	749
458	633	746
459	634	744
460	634	742
461	635	739
462	635	737
463	636	734
464	636	732
465	636	729
466	639	730
467	642	730
468	643	728
469	644	726
470	644	724
471	645	721
472	645	719
